part_id,round,contract_status,candidate_gate,accepted,regression,implementation_failure,resulting_state,post_review_pass,new_failed_gates,improved,voxel_iou,normalized_chamfer,normalized_hd95,gate_status
R01_P00,1,LOCAL_REPAIR,NOT_RUN,False,False,protected feature contract conflict,LOCAL_REPAIR,,,,,,,
R01_P00,2,LOCAL_REPAIR,LOCAL_REPAIR,True,False,,LOCAL_REPAIR,False,[],True,0.3382752376641014,0.04008958535184792,0.12521095593518272,LOCAL_REPAIR
R01_P00,3,LOCAL_REPAIR,LOCAL_REPAIR,False,True,,UNRESOLVED,False,[],False,0.29569863745658564,0.04828487402915614,0.1784239824610704,LOCAL_REPAIR
R01_P01,1,LOCAL_REPAIR,LOCAL_REPAIR,True,False,,LOCAL_REPAIR,False,[],True,0.5282029160555604,0.05380649395308391,0.19866758063637788,LOCAL_REPAIR
R01_P01,2,LOCAL_REPAIR,LOCAL_REPAIR,True,False,,LOCAL_REPAIR,False,[],True,0.522734313151826,0.04654874599021427,0.19073812101579823,LOCAL_REPAIR
R01_P01,3,LOCAL_REPAIR,LOCAL_REPAIR,True,False,,UNRESOLVED,False,[],False,0.52209644906187,0.047433125261511694,0.18975708739541622,LOCAL_REPAIR
R01_P02,1,LOCAL_REPAIR,LOCAL_REPAIR,True,False,,LOCAL_REPAIR,False,[],True,0.3402645113886848,0.03857864561732078,0.10787576489732097,LOCAL_REPAIR
R01_P02,2,LOCAL_REPAIR,LOCAL_REPAIR,False,True,,LOCAL_REPAIR,False,[],False,0.31389782065023225,0.04325871379049503,0.13427040889942038,LOCAL_REPAIR
R01_P02,3,LOCAL_REPAIR,LOCAL_REPAIR,True,False,,UNRESOLVED,False,[],False,0.3387250937431071,0.038204651970712246,0.10624395650011526,LOCAL_REPAIR
R01_P03,1,REPLAN,LOCAL_REPAIR,True,False,,LOCAL_REPAIR,False,[],True,0.27457512280503643,0.04788253983280381,0.17960957683341378,LOCAL_REPAIR
R01_P03,2,LOCAL_REPAIR,LOCAL_REPAIR,False,True,,LOCAL_REPAIR,False,['normalized_hd95'],False,0.2722209969122188,0.0498816432785718,0.18210802279703844,LOCAL_REPAIR
R01_P03,3,REPLAN,LOCAL_REPAIR,True,False,,UNRESOLVED,False,[],False,0.27672713238131996,0.047965098942923064,0.17988321762677625,LOCAL_REPAIR
R01_P04,1,LOCAL_REPAIR,NOT_RUN,False,False,protected feature contract conflict,LOCAL_REPAIR,,,,,,,
R01_P04,2,LOCAL_REPAIR,NOT_RUN,False,,protected feature contract conflict,LOCAL_REPAIR,,,,,,,
R01_P04,3,LOCAL_REPAIR,LOCAL_REPAIR,False,True,,UNRESOLVED,False,[],True,0.269797971187452,0.05282525663311673,0.22327914845946298,LOCAL_REPAIR
R02_P00,1,LOCAL_REPAIR,NOT_RUN,False,False,protected feature contract conflict,LOCAL_REPAIR,,,,,,,
R02_P00,2,LOCAL_REPAIR,LOCAL_REPAIR,False,True,,LOCAL_REPAIR,False,[],True,0.2902816164936132,0.036586314535039965,0.11995759219559418,LOCAL_REPAIR
R02_P00,3,LOCAL_REPAIR,LOCAL_REPAIR,True,False,,UNRESOLVED,False,[],True,0.3211741016109046,0.038643355717321026,0.1434138294848737,LOCAL_REPAIR
R02_P01,1,LOCAL_REPAIR,PASS,True,False,,REPLAN,False,[],True,0.357168578630588,0.03424124732924568,0.08761145921832707,PASS
R02_P01,2,REPLAN,PASS,False,True,,REPLAN,False,[],True,0.3852069845006867,0.04716806608069411,0.1720824278658924,PASS
R02_P01,3,REPLAN,PASS,False,True,,UNRESOLVED,False,[],True,0.4032560518240709,0.04792963622793216,0.13415229655492344,PASS
R02_P02,1,LOCAL_REPAIR,PASS,True,False,,REPLAN,False,[],True,0.4137014616861066,0.02337896740743718,0.06994207139826109,PASS
R02_P02,2,REPLAN,PASS,True,False,,REPLAN,False,[],True,0.4758494337108594,0.021925384194610525,0.07775268566038457,PASS
R02_P02,3,REPLAN,PASS,False,True,,UNRESOLVED,False,[],False,0.3924089378634833,0.027790366984251785,0.10962248794496636,PASS
