case_id,baseline_status,repair_status,repair_tokens,baseline_collision_rate_proxy,baseline_minimum_clearance,baseline_workspace_iou,baseline_graph_f1,baseline_motion_translation,baseline_chamfer,repair_collision_rate_proxy,repair_minimum_clearance,repair_workspace_iou,repair_graph_f1,repair_motion_translation,repair_chamfer
dev_arm-0573e1e127,SUCCESS,SUCCESS,5787,0.0,0.1143877171813462,0.0,0.3636363636363636,0.2841571784062922,0.002188422132513994,0.0,0.1143877171813462,0.0,0.3636363636363636,0.2841571784062922,0.002188422132513994
dev_arm-07307859e2,FAILURE,NOT_RUN,0,,,,,,,,,,,,
dev_arm-10f5f05385,SUCCESS,SUCCESS,6730,0.0,0.01424606527542231,0.0,0.6,0.18971766522527006,0.004731029265751017,0.0,0.01424606527542231,0.0,0.6,0.18971766522527006,0.004731029265751017
dev_arm-21b8992ec4,SUCCESS,SUCCESS,12855,0.21875,0.0010503449208335185,0.0,0.14285714285714288,0.13737488465191,0.007173243773364684,0.21875,0.0010555104485651355,0.0,0.14285714285714288,0.04642773901311571,0.0069459349054644395
dev_arm-3ce41d3c31,SUCCESS,SUCCESS,5656,0.171875,0.0007480274104673346,0.0,0.5,0.1641111803439558,0.0025649714374787183,0.078125,0.0005451422937908694,0.0,0.5,0.16206615183804837,0.0026968007823415015
dev_arm-42e898b1a2,SUCCESS,SUCCESS,8166,0.0,0.038877524753208506,0.0,0.6666666666666666,0.16285434852852512,0.004340062743343881,0.0,0.038877524753208506,0.0,0.6666666666666666,0.16285434852852512,0.004340062743343881
dev_arm-43fa322555,SUCCESS,SUCCESS,6202,0.078125,0.0006273881805940635,0.0,0.5454545454545454,0.1848394250002462,0.0006628783112633494,0.078125,0.0014216794961706268,0.0,0.5454545454545454,0.1848394250002462,0.0007143229320244224
dev_arm-4c7b408826,SUCCESS,SUCCESS,4818,0.0,0.04488791574278319,0.0,0.3636363636363636,0.1687141806397663,0.006444214292312143,0.0,0.007751533691226855,0.0,0.3636363636363636,0.1687141806397663,0.006416825685671028
dev_arm-551a9c392e,SUCCESS,SUCCESS,5630,0.0,0.004467256416703422,0.0,0.08695652173913045,0.14565297786708037,0.007956803967391821,0.0,0.004467256416703422,0.0,0.08695652173913045,0.14565297786708037,0.007956803967391821
dev_arm-ab15a75247,SUCCESS,FAILURE,0,0.0,0.0032695869353070737,0.0,0.8571428571428571,0.12083299799498104,0.006766563084517082,,,,,,
dev_arm-cb42051aad,SUCCESS,FAILURE,0,0.0,0.010330952968617281,0.00819672131147541,0.5,0.13057739745542735,0.002315582223272925,,,,,,
dev_arm-d55f01b988,SUCCESS,SUCCESS,10601,0.890625,6.21433223361722e-05,0.0,0.4615384615384615,0.3393853346883164,0.007645084987043888,0.84375,4.009482405284913e-05,0.0,0.4615384615384615,0.3399491265324738,0.007880022467603148
dev_arm-dcc2b0ce1e,SUCCESS,SUCCESS,6491,0.0,0.12807713137767965,0.0,0.1818181818181818,0.16597550601069155,0.0016912732682646332,0.0,0.12807713137767965,0.0,0.1818181818181818,0.16597550601069155,0.0016912732682646332
dev_arm-f7b0b901d3,SUCCESS,SUCCESS,5149,0.0,0.07831807307097667,0.0,0.5454545454545454,0.07960297521679913,0.0007796397879465797,0.0,0.07831807307097667,0.0,0.5454545454545454,0.07960297521679913,0.0007796397879465797
dev_arm-fdadfa8bdd,SUCCESS,SUCCESS,1110,0.0,0.14500000929337697,0.008,0.5,0.16277288182091082,0.0070306439078992936,0.0,0.14500000929337697,0.008,0.5,0.16277288182091082,0.0070306439078992936
