entity_id,manufacturer,name,source,is_audit30,ratio,feature_ok,failures,n_meshes,n_failed,faces,normal_spectral_entropy,curvature_entropy,dihedral_q90_deg,sharp_rate_30deg,complexity_score,p_normal_spectral_entropy,module_orientation,p_curvature_entropy,p_dihedral_q90_deg,p_sharp_rate_30deg,module_curvature,geometry_complexity_v2
arm-fdadfa8bdd,ABB,CRB 15000,ros-industrial,False,0.25,True,[],7,0,13130,0.9544263123681777,0.5573539337694116,70.66526257363131,0.2176036864552362,0.6579683300742911,0.851063829787234,0.851063829787234,0.5177304964539007,0.46808510638297873,0.40425531914893614,0.46335697399527187,0.657210401891253
arm-f7b0b901d3,ABB,IRB 120,matlab,False,0.25,True,[],7,0,9991,0.8632202749778743,0.734646049232877,93.27695329146331,0.4114003536853479,0.7138146503930854,0.05319148936170213,0.05319148936170213,0.9042553191489362,0.8546099290780141,0.7553191489361702,0.8380614657210401,0.44562647754137114
arm-7d8304122a,ABB,IRB 120-3/0.6,ros-industrial,False,0.25,True,[],7,0,9991,0.8632202749778743,0.734646049232877,93.27695329146331,0.4114003536853479,0.7138146503930854,0.05319148936170213,0.05319148936170213,0.9042553191489362,0.8546099290780141,0.7553191489361702,0.8380614657210401,0.44562647754137114
arm-d23914e41d,ABB,IRB 1200-5/0.9,ros-industrial,False,0.25,True,[],7,0,23205,0.9517628629249452,0.645156486685051,81.75126230641979,0.302274545537936,0.944652354889634,0.8368794326241135,0.8368794326241135,0.6666666666666666,0.5602836879432624,0.5035460992907801,0.5768321513002364,0.706855791962175
arm-402d7168a6,ABB,IRB 1200-7/0.7,ros-industrial,False,0.25,True,[],7,0,19724,0.9619577390599724,0.668798436907898,82.56000057227392,0.3232322105110999,1.0788556867867882,0.900709219858156,0.900709219858156,0.7021276595744681,0.5673758865248227,0.524822695035461,0.5981087470449173,0.7494089834515367
arm-936a2bbc83,ABB,IRB 120T,matlab,False,0.25,True,[],7,0,9991,0.8632202749778743,0.734646049232877,93.27695329146331,0.4114003536853479,0.7138146503930854,0.05319148936170213,0.05319148936170213,0.9042553191489362,0.8546099290780141,0.7553191489361702,0.8380614657210401,0.44562647754137114
arm-30008f0a9e,ABB,IRB 120T-3/0.6,ros-industrial,False,0.25,True,[],7,0,9991,0.8632202749778743,0.734646049232877,93.27695329146331,0.4114003536853479,0.7138146503930854,0.05319148936170213,0.05319148936170213,0.9042553191489362,0.8546099290780141,0.7553191489361702,0.8380614657210401,0.44562647754137114
arm-d8cf128269,ABB,IRB 140,robotics-toolbox,True,0.25,True,[],7,0,4907,0.937856985697404,0.7500967768562361,91.57161557567346,0.4571621624938854,1.2930929321516895,0.7056737588652482,0.7056737588652482,0.9326241134751773,0.8049645390070922,0.9042553191489362,0.8806146572104018,0.793144208037825
arm-f86e598566,ABB,IRB 140T,robotics-toolbox,False,0.25,True,[],7,0,4907,0.937856985697404,0.7500967768562361,91.57161557567346,0.4571621624938854,1.2930929321516895,0.7056737588652482,0.7056737588652482,0.9326241134751773,0.8049645390070922,0.9042553191489362,0.8806146572104018,0.793144208037825
arm-4e79777e86,ABB,IRB 1600,matlab,False,0.25,True,"[""link_3.stl: ModuleNotFoundError: No module named 'networkx'""]",6,1,4059,0.9039188018316282,0.7140704904112819,91.21977938149288,0.4503067865977677,1.0163490716140369,0.38652482269503546,0.38652482269503546,0.8404255319148937,0.7836879432624113,0.8829787234042553,0.8356973995271867,0.611111111111111
