part_id,condition,substructure_id,semantic_role,realized,cad_strategy,protected
R02_P04,B1,S00,base_housing_body,True,POLYGON_EXTRUDE,False
R02_P04,B1,S01,upper_stepped_cover,True,POLYGON_EXTRUDE,False
R02_P04,B1,S02,proximal_joint_boss,True,REVOLVED_OR_CYLINDRICAL_BOSS,False
R02_P04,B1,S03,rear_transition,True,MULTI_PROFILE_LOFT,False
R02_P04,B1,S04,side_wall_pair,True,MIRRORED_PAIR,False
R02_P04,B1,S05,local_recess,True,BOOLEAN_CUT,False
R02_P04,B1,S06,mounting_interface,True,BOOLEAN_CUT,False
R02_P04,B2,S00,base_housing_body,True,POLYGON_EXTRUDE,False
R02_P04,B2,S01,upper_stepped_cover,True,POLYGON_EXTRUDE,False
R02_P04,B2,S02,proximal_joint_boss,True,REVOLVED_OR_CYLINDRICAL_BOSS,False
R02_P04,B2,S03,rear_transition,True,MULTI_PROFILE_LOFT,False
R02_P04,B2,S04,side_wall_pair,True,MIRRORED_PAIR,False
R02_P04,B2,S05,local_recess,True,BOOLEAN_CUT,False
R02_P04,B2,S06,mounting_interface,True,BOOLEAN_CUT,False
R02_P06,B1,S00,central_carriage,True,POLYGON_EXTRUDE,False
R02_P06,B1,S01,left_rail,True,ORIENTED_PRISM,False
R02_P06,B1,S02,right_rail,True,ORIENTED_PRISM,False
R02_P06,B1,S03,left_slider,True,POLYGON_EXTRUDE,False
R02_P06,B1,S04,right_slider,True,POLYGON_EXTRUDE,False
R02_P06,B1,S05,left_jaw,True,POLYGON_EXTRUDE,False
R02_P06,B1,S06,right_jaw,True,POLYGON_EXTRUDE,False
R02_P06,B1,S07,left_linkage,True,PROFILE_LINK,False
R02_P06,B1,S08,right_linkage,True,PROFILE_LINK,False
R02_P06,B1,S09,pivot_group,True,REVOLVED_OR_CYLINDRICAL_BOSS,False
R02_P06,B1,S10,working_gap,True,BOOLEAN_CUT,False
R02_P06,B2,S00,central_carriage,True,POLYGON_EXTRUDE,False
R02_P06,B2,S01,left_rail,True,ORIENTED_PRISM,False
R02_P06,B2,S02,right_rail,True,ORIENTED_PRISM,False
R02_P06,B2,S03,left_slider,True,POLYGON_EXTRUDE,False
R02_P06,B2,S04,right_slider,True,POLYGON_EXTRUDE,False
R02_P06,B2,S05,left_jaw,True,POLYGON_EXTRUDE,False
R02_P06,B2,S06,right_jaw,True,POLYGON_EXTRUDE,False
R02_P06,B2,S07,left_linkage,True,PROFILE_LINK,False
R02_P06,B2,S08,right_linkage,True,PROFILE_LINK,False
R02_P06,B2,S09,pivot_group,True,REVOLVED_OR_CYLINDRICAL_BOSS,False
R02_P06,B2,S10,working_gap,True,BOOLEAN_CUT,False
R02_P06,B2,S11,left_jaw_adapter,True,POLYGON_EXTRUDE,False
R02_P06,B2,S12,right_jaw_adapter,True,POLYGON_EXTRUDE,False
