candidate_id,housing_width_mm,housing_height_mm,proximal_section_length_mm,transition_length_mm,distal_width_mm,distal_height_mm
S000,22.137505743652582,12.47018277272582,30.483523407950997,15.680077575147152,18.06776517443359,23.740909203886986
S001,10.663689881563187,23.758593916893005,21.007073985412717,9.969824869185686,11.281582156196237,11.498492941260338
S002,15.137483760714531,17.693704379722476,26.9128649905324,12.259899877011776,13.561125943437219,15.77649611234665
S003,17.663724798709154,19.97772099263966,24.139477968215942,6.543318588286638,20.340849367901683,19.019431173801422
S004,19.50126114487648,15.738992843776941,19.639149587601423,4.486622508615255,19.72441916540265,20.17204289138317
S005,16.805059764534235,22.45056875795126,29.334135491400957,10.566599488258362,12.510548777878284,8.930572673678398
S006,12.501296062022448,12.238271286711097,22.991592114791274,7.1631974540650845,8.645014084875584,12.34154188632965
S007,23.805037781596184,27.954241732135415,25.546869901940227,13.236708521842957,15.8652372546494,16.5834698677063
S008,23.0885020904243,18.871563225984573,22.012483136728406,10.9359534047544,9.785382308065891,18.470882788300514
S009,13.419373832643032,21.15340020880103,26.525832066312432,5.0078966319561005,17.009026784449816,14.729412332177162
S010,16.088480211794376,13.403055118396878,18.868228524923325,14.262203719466925,21.83880167081952,10.015373975038528
S011,20.41940864548087,24.689286632463336,30.105149962008,8.340818852186203,14.621516652405262,22.757302194833755
S012,18.700548611581326,10.884056560695171,27.673544455319643,8.534213654696941,12.313191840425134,17.91084285080433
S013,14.309034626930952,26.602241102606058,23.378731798380613,14.818811107426882,19.08949395827949,13.168426349759102
S014,11.700583424419165,14.700094351544976,31.47287398390472,5.95117699354887,16.064353166148067,9.571421951055527
S015,21.30901274830103,21.413884362205863,20.017843520268798,12.242675233632326,9.281584778800607,21.31435725092888
S016,20.596902264282107,15.06261313892901,26.178362015634775,7.635814215987921,20.69180229306221,13.672962561249733
S017,10.879735784605145,21.85102435015142,21.89428662881255,13.558034390211105,13.909034114331007,17.43149210512638
S018,13.596920909360051,10.44224738329649,29.55003092996776,4.212901379913092,10.938794445246458,21.840378552675247
S019,17.879704205319285,26.2262640632689,18.084376683458686,10.14012262225151,17.715096354484558,9.082306772470474
S020,19.7087888289243,14.130525993183255,23.916540088132024,12.946752898395061,15.35187073238194,14.241706803441048
S021,15.2695565354079,25.3421019744128,28.420006239786744,6.656273294240236,8.134585505351424,18.99929030239582
S022,12.708757249638438,18.223417073488235,20.327509567141533,15.614733330905437,13.019261514768004,22.275454849004745
S023,22.269575180485845,20.43938758596778,31.57420029491186,9.329117465764284,20.242906199768186,10.518390148878098
